"";"application/octet-stream";"data"
"";"inode/x-empty";"empty"
"wav";"inode/x-empty";"empty"
"";"application/octet-stream";"Apple Desktop Services Store"
"aif";"application/octet-stream";"data"
"mp3";"inode/x-empty";"empty"
"aea";"inode/x-empty";"empty"
"mp3";"application/octet-stream";"Audio file with ID3 version 2.3.0"
"mp3 copie";"audio/mpeg";"Audio file with ID3 version 2.2.0, contains: MPEG ADTS, layer III, v1,  80 kbps, 44.1 kHz, Monaural"
"mp3 19:11:02";"audio/mpeg";"Audio file with ID3 version 2.2.0, contains: MPEG ADTS, layer III, v1,  80 kbps, 44.1 kHz, Monaural"
